latitude,longitude,random_id,set
29.95728283,-90.06672856,0.107873517,2
29.95704071,-90.06706977,0.700175743,2
29.95782843,-90.06636763,0.336393833,2
29.95797788,-90.06610848,0.671266473,2
29.95665948,-90.06752904,0.252709358,2
29.95628035,-90.06775069,0.036967383,2
29.95764053,-90.06796757,0.187817034,2
29.95861082,-90.06566875,0.326654007,2
29.9558775,-90.06822336,0.051320008,2
29.95582185,-90.06824313,0.565835453,2
29.95902895,-90.06528471,0.957960893,2
29.95549212,-90.06845937,0.79709061,2
29.95513121,-90.06867359,0.446213519,2
29.95948475,-90.06488729,0.872449324,2
29.95964743,-90.0648222,0.174577416,2
29.95471341,-90.06915303,0.397356699,2
29.95360547,-90.06566543,0.559937808,2
29.95439599,-90.06887508,0.202128154,2
29.95350317,-90.06737365,0.65824152,2
29.95531813,-90.07004448,0.086284465,2
29.96023902,-90.06429842,0.35311638,2
29.95896103,-90.06992563,0.749247068,2
29.95420704,-90.06948401,0.231845602,2
29.95346489,-90.06873549,0.801319872,2
29.95395759,-90.06982946,0.959945919,2
29.95310368,-90.06916653,0.664662787,2
29.95370058,-90.07005953,0.204382708,2
29.96140965,-90.06762788,0.440263502,2
29.96106843,-90.06347294,0.4848223,2
29.95802979,-90.0723882,0.081641447,2
29.9529004,-90.07059664,0.429537537,2
29.96133062,-90.07079797,0.150067255,2
29.95611884,-90.07364439,0.411191241,2
29.96344297,-90.06675702,0.569788202,2
29.95009445,-90.06431613,0.566514422,2
29.9541597,-90.07394124,0.758764119,2
29.96208537,-90.07268175,0.373663074,2
29.95354081,-90.07541601,0.2334369,2
29.96201596,-90.05808164,0.19599406,2
29.94813558,-90.06492778,0.744322981,2
29.94809209,-90.06489593,0.452234864,2
29.96293538,-90.0740024,0.131003252,2
29.96590313,-90.06372265,0.976465544,2
29.94810964,-90.06973176,0.024607404,2
29.96254444,-90.0576828,0.429858156,2
29.94831954,-90.07087393,0.694868904,2
29.96477221,-90.06014932,0.188394658,2
29.96320749,-90.0744993,0.528513554,2
29.96579109,-90.07032343,0.212589086,2
29.96449922,-90.07325855,0.068846181,2
29.958898,-90.07743863,0.599039047,2
29.96353296,-90.05776008,0.343457207,2
29.96375654,-90.07523896,0.800817968,2
29.96249807,-90.07635807,0.89001399,2
29.96442168,-90.05751051,0.585092393,2
29.96735506,-90.07071292,0.294668345,2
29.96421624,-90.07610899,0.39225444,2
29.96504632,-90.0573184,0.577490418,2
29.9541618,-90.05370588,0.146460035,2
29.96557612,-90.05764029,0.975438155,2
29.96602577,-90.07454427,0.988169804,2
29.94593031,-90.07168369,0.872105223,2
29.96737244,-90.05922592,0.023428339,2
29.96467642,-90.07706105,0.829679615,2
29.96273041,-90.05401424,0.825369016,2
29.96944108,-90.06823818,0.281079803,2
29.96960096,-90.06691961,0.571509365,2
29.96487042,-90.07856343,0.2234373,2
29.97013896,-90.06407675,0.46337293,2
29.96529516,-90.07918665,0.223082955,2
29.97088063,-90.06773115,0.472299959,2
